File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_30728_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30728,Chick,WH.0129.0,BL.0322.0,2018-05-20,Reduced,129_322,B4,Female,Nestling,Nest B Cross-fostered
BD_30701_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30701,Chick,BL.0322.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Male,Nestling,Nest A Cross-fostered
BD_30703_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30703,Chick,BL.0322.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Male,Nestling,Nest A Cross-fostered
BD_30706_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30706,Chick,BL.0322.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Female,Nestling,Nest A Cross-fostered
BD_30599_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30599,Chick,WH.0129.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Female,Nestling,Nest B Stayed
BD_30600_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30600,Chick,WH.0129.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Female,Nestling,Nest B Stayed
BD_30707_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30707,Chick,WH.0129.0,WH.0129.0,2018-05-20,Enlarged,129_322,B4,Female,Nestling,Nest B Stayed
BD_83112_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83112,Chick,BL.0327.0,BL.0327.0,2018-05-18,Reduced,327_720,B4,Female,Nestling,Nest A Stayed
BD_83113_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83113,Chick,BL.0327.0,BL.0327.0,2018-05-18,Reduced,327_720,B4,Male,Nestling,Nest A Stayed
BD_83114_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83114,Chick,BL.0327.0,BL.0327.0,2018-05-18,Reduced,327_720,B4,Male,Nestling,Nest A Stayed
BD_83111_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83111,Chick,WH.0720.0,BL.0327.0,2018-05-18,Reduced,327_720,B4,Male,Nestling,Nest B Cross-fostered
BD_83115_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83115,Chick,WH.0720.0,BL.0327.0,2018-05-18,Reduced,327_720,B4,Male,Nestling,Nest B Cross-fostered
BD_83124_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83124,Chick,BL.0327.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Female,Nestling,Nest A Cross-fostered
BD_83130_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83130,Chick,BL.0327.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Female,Nestling,Nest A Cross-fostered
BD_83131_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83131,Chick,BL.0327.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Male,Nestling,Nest A Cross-fostered
BD_83125_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83125,Chick,WH.0720.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Male,Nestling,Nest B Stayed
BD_83132_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83132,Chick,WH.0720.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Male,Nestling,Nest B Stayed
BD_83133_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83133,Chick,WH.0720.0,WH.0720.0,2018-05-18,Enlarged,327_720,B4,Male,Nestling,Nest B Stayed
BD_83702_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83702,Chick,WH.0055.0,WH.0055.0,2018-05-25,Control,55_61,B4,Male,Nestling,Nest A Stayed
BD_83701_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83701,Chick,WH.0061.0,WH.0055.0,2018-05-25,Control,55_61,B4,Male,Nestling,Nest B Cross-fostered
BD_83707_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83707,Chick,WH.0055.0,WH.0061.0,2018-05-25,Control,55_61,B4,Female,Nestling,Nest A Cross-fostered
BD_83708_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83708,Chick,WH.0061.0,WH.0061.0,2018-05-25,Control,55_61,B4,Male,Nestling,Nest B Stayed
BD_83031_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83031,Chick,WH.0112.0,WH.0112.0,2018-05-18,Control,112_185,B5,Female,Nestling,Nest A Stayed
BD_83034_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83034,Chick,WH.0112.0,WH.0112.0,2018-05-18,Control,112_185,B5,Female,Nestling,Nest A Stayed
BD_83039_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83039,Chick,WH.0112.0,WH.0112.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest A Stayed
BD_83032_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83032,Chick,WH.0185.0,WH.0112.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest B Cross-fostered
BD_83033_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83033,Chick,WH.0185.0,WH.0112.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest B Cross-fostered
BD_83036_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83036,Chick,WH.0185.0,WH.0112.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest B Cross-fostered
BD_83103_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83103,Chick,WH.0112.0,WH.0185.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest A Cross-fostered
BD_83105_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83105,Chick,WH.0112.0,WH.0185.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest A Cross-fostered
